code,name,priceUSD,change24H,change7D,symbol,priceBTC,marketCap,volume24H,totalVolume,timestamp
1,Bitcoin,"8,159.6",-2.18%,-0.22%,BTC,1,$147.65B,$15.24B,27.52%,1571162662.282001
2,Ethereum,179.64,-3.37%,+0.17%,ETH,0.0220238,$19.55B,$7.55B,13.63%,1571162662.282001
3,XRP,0.28513,-2.07%,+3.85%,XRP,0.00003486,$12.35B,$1.67B,3.01%,1571162662.282001
4,Tether,1.0040,+0.04%,-0.14%,USDT,0.00012232,$4.12B,$18.71B,33.78%,1571162662.282001
5,Bitcoin Cash,220.24,-3.25%,-4.13%,BCH,0.0269583,$3.99B,$1.35B,2.45%,1571162662.282001
6,Litecoin,54.422,-4.09%,-4.37%,LTC,0.00667976,$3.48B,$2.54B,4.59%,1571162662.282001
7,Binance Coin,18.4732,+1.63%,+15.97%,BNB,0.0022626,$2.89B,$321.88M,0.58%,1571162662.282001
8,EOS,2.9308,-7.80%,-6.18%,EOS,0.00036145,$2.78B,$1.56B,2.83%,1571162662.282001
9,Bitcoin SV,88.85,+2.51%,+6.43%,BSV,0.0109293,$1.60B,$297.48M,0.54%,1571162662.282001
10,Stellar,0.06343,-1.60%,+3.47%,XLM,0.00000776,$1.28B,$232.28M,0.42%,1571162662.282001
11,TRON,0.015645,-5.98%,-6.10%,TRX,0.00000191,$1.05B,$620.49M,1.12%,1571162662.282001
12,Cardano,0.039490,-5.03%,-3.73%,ADA,0.00000482,$1.03B,$45.95M,0.08%,1571162662.282001
13,UNUS SED LEO,0.9968,+1.93%,+4.10%,LEO,0.00012159,$997.17M,$8.85M,0.02%,1571162662.282001
14,Monero,51.828,-2.13%,-6.45%,XMR,0.00634487,$898.60M,$77.76M,0.14%,1571162662.282001
15,Huobi Token,3.6055,-1.04%,+14.25%,HT,0.00044116,$847.82M,$100.06M,0.18%,1571162662.282001
16,Chainlink,2.38,-7.53%,-6.28%,LINK,0.00029058,$834.54M,$94.44M,0.17%,1571162662.282001
17,IOTA,0.27752,-0.15%,+1.40%,MIOTA,0.00003391,$773.44M,$6.67M,0.01%,1571162662.282001
18,Waltonchain,27.1578,-0.04%,+27.87%,WTC,0.00242413,$676.18M,$10.54M,0.05%,1571162662.282001
19,Dash,70.96,+0.12%,-0.96%,DASH,0.00869065,$648.70M,$233.61M,0.42%,1571162662.282001
20,Tezos,0.90793,-2.35%,+1.21%,XTZ,0.00011128,$603.01M,$17.47M,0.03%,1571162662.282001
21,Cosmos,2.9365,-2.11%,+1.77%,ATOM,0.00036106,$564.95M,$159.98M,0.29%,1571162662.282001
22,MEXC Token,0.59500,+8.26%,+5.09%,MEXC,0.00007374,$553.68M,$1.57M,0%,1571162662.282001
23,Ethereum Classic,4.5578,-5.23%,-1.39%,ETC,0.00055655,$521.92M,$549.40M,0.99%,1571162662.282001
24,NEO,7.2833,-1.93%,-2.18%,NEO,0.00089333,$517.07M,$251.83M,0.45%,1571162662.282001
25,Maker,497.34,-3.65%,+9.46%,MKR,0.0605533,$496.87M,$9.25M,0.02%,1571162662.282001
